Time,Thermistor,Potentiometer
1914,469,1022
1915,469,1022
1916,469,1022
1917,469,1022
1918,469,1022
1919,469,1023
1920,469,1022
1921,469,1022
1922,469,1022
1923,469,1022
1924,469,1022
1925,469,1022
1926,469,1023
1927,469,1022
1928,469,1022
1929,469,1022
1930,469,1022
1931,469,1022
1932,469,1022
1933,469,1022
1934,469,1022
1935,469,1021
1936,469,1022
1937,469,1022
1938,469,1022
1939,469,1022
1940,469,1022
1941,469,1022
1942,469,1022
1943,469,1022
1944,469,1022
1945,469,1023
1946,469,1022
1947,469,1022
1948,469,1022
1949,469,1022
1950,469,1023
1951,469,1022
1952,470,1022
1953,469,1022
1954,469,1022
1955,469,1022
1956,469,1022
1957,469,1022
1958,469,1022
1959,469,1021
1960,469,1022
1961,469,1023
1962,469,1022
1963,470,1022
1964,470,1022
1965,469,1022
1966,470,1022
1967,469,1022
1968,470,1022
1969,469,1022
1970,469,1022
1971,470,1021
1972,469,1022
1973,469,1022
1974,469,1022
1975,469,1022
1976,469,1022
1977,470,1022
1978,470,1023
1979,470,1022
1980,469,1022
1981,469,1023
1982,469,1022
1983,469,1022
1984,470,1022
1985,469,1022
1986,469,1022
1987,469,1022
1988,470,1022
1989,470,1022
1990,470,1022
1991,470,1022
1992,469,1023
1993,469,1023
1994,470,1022
1995,469,1022
1996,470,1022
1997,470,1022
1998,470,1022
1999,469,1022
2000,469,1022
2001,470,1022
2002,470,1021
2003,470,1022
2004,470,1022
2005,469,1022
2006,470,1022
2007,470,1022
2008,469,1022
2009,470,1022
2010,470,1023
2011,470,1022
2012,470,1023
2013,470,1022
2014,470,1022
2015,470,1022
2016,470,1022
2017,470,1023
2018,469,1022
2019,470,1022
2020,470,1022
2021,470,1022
2022,470,1021
2023,470,1023
2024,470,1022
2025,470,1022
2026,470,1022
2027,470,1022
2028,470,1022
2029,470,1022
2030,470,1022
2031,470,1022
2032,470,1022
2033,470,1021
2034,470,1022
2035,470,1022
2036,470,1023
2037,470,1022
2038,470,1022
2039,470,1022
2040,470,1022
2041,470,1021
2042,470,1022
